Name,usage_boost,ast_boost,reb_boost
Breanna Stewart,1.0,1.0,1.0
Brittney Griner,1.0,1.0,1.0
Marine Johannes,1.0,1.0,1.0
Dominique Malonga,1.0,1.0,1.0
Natisha Hiedeman,1.0,1.0,1.0
Cassandre Prosper,1.0,1.0,1.0
Flau'jae Johnson,1.0,1.0,1.0
A'ja Wilson,1.0,1.0,1.0
Diamond Miller,1.0,1.0,1.0
Kennedy Burke,1.0,1.0,1.0
Rae Burrell,1.0,1.0,1.0
Stephanie Talbot,1.0,1.0,1.0
NaLyssa Smith,1.0,1.0,1.0
Kiah Stokes,1.0,1.0,1.0
Gabby Williams,1.0,1.0,1.0
Aneesah Morrow,1.0,1.0,1.0
Kamilla Cardoso,1.0,1.0,1.0
Kiki Iriafen,1.0,1.0,1.0
Pauline Astier,1.0,1.0,1.0
Saniya Rivers,1.0,1.0,1.0
DeWanna Bonner,1.0,1.0,1.0
Alyssa Thomas,1.0,1.0,1.0
Kayla McBride,1.0,1.0,1.0
Courtney Williams,1.0,1.0,1.0
Ariel Atkins,1.0,1.0,1.0
Gabriela Jaquez,1.0,1.0,1.0
Rori Harmon,1.0,1.0,1.0
Nia Coffey,1.0,1.0,1.0
Shakira Austin,1.0,1.0,1.0
Myisha Hines-Allen,1.0,1.0,1.0
Kaila Charles,1.0,1.0,1.0
Sonia Citron,1.0,1.0,1.0
Julie Allemand,1.0,1.0,1.0
Rhyne Howard,1.0,1.0,1.0
Brittney Sykes,1.0,1.0,1.0
Grace Vanslooten,1.0,1.0,1.0
Dearica Hamby,1.0,1.0,1.0
Temi Fagbenle,1.0,1.0,1.0
Maria Conde,1.0,1.0,1.0
Natasha Mack,1.0,1.0,1.0
Mackenzie Holmes,1.0,1.0,1.0
Betnijah Laney-Hamilton,1.0,1.0,1.0
Megan Gustafson,1.0,1.0,1.0
Kahleah Copper,1.0,1.0,1.0
Chelsea Gray,1.0,1.0,1.0
Olivia Miles,1.0,1.0,1.0
