player,date,3-Pointers,Assists,Points,Rebounds,sportsbook,last_updated
A'ja Wilson,2025-08-20,,3.5,24.5,11.5,Caesars,2025-08-19 11:03:04
Alanna Smith,2025-08-19,1.5,,9.5,6.5,Caesars,2025-08-19 11:03:04
Allisha Gray,2025-08-20,2.5,3.5,14.5,4.5,Caesars,2025-08-19 11:03:04
Alyssa Thomas,2025-08-20,,8.5,14.5,8.5,Caesars,2025-08-19 11:03:04
Ariel Atkins,2025-08-20,,3.5,9.5,3.5,Caesars,2025-08-19 11:03:04
Brionna Jones,2025-08-20,,,9.5,6.5,Caesars,2025-08-19 11:03:04
Cecilia Zandalasini,2025-08-20,1.5,,9.5,3.5,Caesars,2025-08-19 11:03:04
Chelsea Gray,2025-08-20,1.5,,9.5,,Caesars,2025-08-19 11:03:04
Courtney Williams,2025-08-19,1.5,6.5,14.5,4.5,Caesars,2025-08-19 11:03:04
Elizabeth Williams,2025-08-20,,,9.5,,Caesars,2025-08-19 11:03:04
Ezi Magbegor,2025-08-20,,,9.5,5.5,Caesars,2025-08-19 11:03:04
Gabby Williams,2025-08-20,1.5,4.5,9.5,3.5,Caesars,2025-08-19 11:03:04
Jackie Young,2025-08-20,1.5,4.5,14.5,4.5,Caesars,2025-08-19 11:03:04
Janelle Salaün,2025-08-20,1.5,,9.5,4.5,Caesars,2025-08-19 11:03:04
Jessica Shepard,2025-08-19,,,9.5,8.5,Caesars,2025-08-19 11:03:04
Jewell Loyd,2025-08-20,1.5,,9.5,,Caesars,2025-08-19 11:03:04
Jonquel Jones,2025-08-19,1.5,3.5,14.5,8.5,Caesars,2025-08-19 11:03:04
Kahleah Copper,2025-08-20,1.5,,14.5,,Caesars,2025-08-19 11:03:04
Kamilla Cardoso,2025-08-20,,,14.5,7.5,Caesars,2025-08-19 11:03:04
Kayla McBride,2025-08-19,2.5,3.5,14.5,,Caesars,2025-08-19 11:03:04
Kiki Iriafen,2025-08-19,,,14.5,9.5,Caesars,2025-08-19 11:03:04
Leonie Fiebich,2025-08-19,1.5,,9.5,3.5,Caesars,2025-08-19 11:03:04
Leïla Lacan,2025-08-19,,4.5,9.5,,Caesars,2025-08-19 11:03:04
Marina Mabrey,2025-08-19,2.5,4.5,14.5,3.5,Caesars,2025-08-19 11:03:04
Natasha Cloud,2025-08-19,0.5,4.5,9.5,3.5,Caesars,2025-08-19 11:03:04
Naz Hillmon,2025-08-20,,,9.5,6.5,Caesars,2025-08-19 11:03:04
Nneka Ogwumike,2025-08-20,1.5,,14.5,7.5,Caesars,2025-08-19 11:03:04
Rachel Banham,2025-08-20,1.5,,9.5,,Caesars,2025-08-19 11:03:04
Rhyne Howard,2025-08-20,2.5,4.5,14.5,3.5,Caesars,2025-08-19 11:03:04
Sabrina Ionescu,2025-08-19,2.5,4.5,19.5,4.5,Caesars,2025-08-19 11:03:04
Satou Sabally,2025-08-20,1.5,,14.5,5.5,Caesars,2025-08-19 11:03:04
Shakira Austin,2025-08-19,,,14.5,6.5,Caesars,2025-08-19 11:03:04
Skylar Diggins-Smith,2025-08-20,1.5,5.5,14.5,,Caesars,2025-08-19 11:03:04
Sonia Citron,2025-08-19,1.5,3.5,14.5,3.5,Caesars,2025-08-19 11:03:04
Sug Sutton,2025-08-19,,,9.5,,Caesars,2025-08-19 11:03:04
Tiffany Hayes,2025-08-20,1.5,3.5,9.5,,Caesars,2025-08-19 11:03:04
Tina Charles,2025-08-19,,,14.5,5.5,Caesars,2025-08-19 11:03:04
Veronica Burton,2025-08-20,1.5,4.5,9.5,4.5,Caesars,2025-08-19 11:03:04
