player,team,stat,dk_line,matchup,game_time,dk_odds,dk_implied_prob,dk_implied_under_prob,caesars_threshold,threshold_diff,caesars_over_prob,caesars_under_prob,caesars_over_odds,caesars_under_odds,over_value,under_value,over_value_category,under_value_category,best_value_side
Natasha Cloud,NYL,Assists,2.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,-1000,0.9091,0.0909,3,0.5,0.7712,0.2288,-337,337,-0.1379,0.1379,No Value,High Value Under,High Value Under
Natasha Cloud,NYL,Assists,3.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,-360,0.7826,0.2174,4,0.5,0.5732,0.4268,-134,134,-0.2094,0.2094,No Value,High Value Under,High Value Under
Natasha Cloud,NYL,Assists,4.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,-165,0.6226,0.3774,5,0.5,0.3709,0.6291,170,-170,-0.2517,0.2517,No Value,High Value Under,High Value Under
Natasha Cloud,NYL,Assists,5.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,120,0.4545,0.5455,6,0.5,0.1799,0.8201,456,-456,-0.2746,0.2746,No Value,High Value Under,High Value Under
Natasha Cloud,NYL,Assists,6.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,225,0.3077,0.6923,7,0.5,0.0686,0.9314,1358,-1358,-0.2391,0.2391,No Value,High Value Under,High Value Under
Natasha Cloud,NYL,Assists,7.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,425,0.1905,0.8095,8,0.5,0.0379,0.9621,2539,-2539,-0.1526,0.1526,No Value,High Value Under,High Value Under
Natasha Cloud,NYL,Assists,8.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,750,0.1176,0.8824,9,0.5,0.0179,0.9821,5487,-5487,-0.0997,0.0997,No Value,Medium Value Under,Medium Value Under
Natasha Cloud,NYL,Assists,9.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,1400,0.0667,0.9333,10,0.5,0.0085,0.9915,11665,-11665,-0.0582,0.0582,No Value,Medium Value Under,Medium Value Under
Natasha Cloud,NYL,Assists,10.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,2800,0.0345,0.9655,11,0.5,0.0039,0.9961,25541,-25541,-0.0306,0.0306,No Value,No Value,No Value
Natasha Cloud,NYL,Points,5.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,-575,0.8519,0.1481,6,0.5,0.8324,0.1676,-497,497,-0.0195,0.0195,No Value,No Value,No Value
Natasha Cloud,NYL,Points,7.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,-245,0.7101,0.2899,8,0.5,0.6747,0.3253,-207,207,-0.0354,0.0354,No Value,No Value,No Value
Natasha Cloud,NYL,Points,9.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,-125,0.5556,0.4444,10,0.5,0.5219,0.4781,-109,109,-0.0337,0.0337,No Value,No Value,No Value
Natasha Cloud,NYL,Points,11.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,150,0.4,0.6,12,0.5,0.3645,0.6355,174,-174,-0.0355,0.0355,No Value,No Value,No Value
Natasha Cloud,NYL,Points,14.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,360,0.2174,0.7826,15,0.5,0.1495,0.8505,569,-569,-0.0679,0.0679,No Value,Medium Value Under,Medium Value Under
Natasha Cloud,NYL,Points,17.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,850,0.1053,0.8947,18,0.5,0.0489,0.9511,1945,-1945,-0.0564,0.0564,No Value,Medium Value Under,Medium Value Under
Natasha Cloud,NYL,Points,19.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,1500,0.0625,0.9375,20,0.5,0.0297,0.9703,3267,-3267,-0.0328,0.0328,No Value,No Value,No Value
Natasha Cloud,NYL,Rebounds,2.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,-290,0.7436,0.2564,3,0.5,0.7827,0.2173,-360,360,0.0391,-0.0391,No Value,No Value,No Value
Natasha Cloud,NYL,Rebounds,3.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,-120,0.5455,0.4545,4,0.5,0.4831,0.5169,107,-107,-0.0624,0.0624,No Value,Medium Value Under,Medium Value Under
Natasha Cloud,NYL,Rebounds,4.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,180,0.3571,0.6429,5,0.5,0.1979,0.8021,405,-405,-0.1592,0.1592,No Value,High Value Under,High Value Under
Natasha Cloud,NYL,Rebounds,5.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,370,0.2128,0.7872,6,0.5,0.0521,0.9479,1819,-1819,-0.1607,0.1607,No Value,High Value Under,High Value Under
Natasha Cloud,NYL,Rebounds,6.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,750,0.1176,0.8824,7,0.5,0.022,0.978,4445,-4445,-0.0956,0.0956,No Value,Medium Value Under,Medium Value Under
Natasha Cloud,NYL,Rebounds,7.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,1600,0.0588,0.9412,8,0.5,0.0066,0.9934,15052,-15052,-0.0522,0.0522,No Value,Medium Value Under,Medium Value Under
Natasha Cloud,NYL,3-Pointers,0.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,-235,0.7015,0.2985,1,0.5,0.5067,0.4933,-103,103,-0.1948,0.1948,No Value,High Value Under,High Value Under
Natasha Cloud,NYL,3-Pointers,1.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,190,0.3448,0.6552,2,0.5,0.1219,0.8781,720,-720,-0.2229,0.2229,No Value,High Value Under,High Value Under
Natasha Cloud,NYL,3-Pointers,2.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,650,0.1333,0.8667,3,0.5,0.0231,0.9769,4229,-4229,-0.1102,0.1102,No Value,High Value Under,High Value Under
Natasha Cloud,NYL,3-Pointers,3.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,2200,0.0435,0.9565,4,0.5,0.003,0.997,33233,-33233,-0.0405,0.0405,No Value,No Value,No Value
Sabrina Ionescu,NYL,Assists,2.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,-800,0.8889,0.1111,3,0.5,0.8651,0.1349,-641,641,-0.0238,0.0238,No Value,No Value,No Value
Sabrina Ionescu,NYL,Assists,3.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,-310,0.7561,0.2439,4,0.5,0.6947,0.3053,-228,228,-0.0614,0.0614,No Value,Medium Value Under,Medium Value Under
Sabrina Ionescu,NYL,Assists,4.5,2025-08-21T23:00:00Z,2025-08-21T23:00:00Z,-145,0.5918,0.4082,5,0.5,0.5225,0.4775,-109,109,-0.0693,0.0693,No Value,Medium Value Under,Medium Value Under
