date,player,offerName,over_under,line,americanOdds,sportsbook,game_time
2025-08-19,Courtney Williams,Points,Over,14.5,-130,BetOnline,2025-08-19T23:00:00
2025-08-19,Courtney Williams,Points,Under,14.5,100,BetOnline,2025-08-19T23:00:00
2025-08-19,Kayla McBride,Points,Over,14.5,-143,BetOnline,2025-08-19T23:00:00
2025-08-19,Kayla McBride,Points,Under,14.5,110,BetOnline,2025-08-19T23:00:00
2025-08-19,Jonquel Jones,Points,Over,13.5,-128,BetOnline,2025-08-19T23:00:00
2025-08-19,Jonquel Jones,Points,Under,13.5,-101,BetOnline,2025-08-19T23:00:00
2025-08-19,Alanna Smith,Points,Over,10.5,-143,BetOnline,2025-08-19T23:00:00
2025-08-19,Alanna Smith,Points,Under,10.5,110,BetOnline,2025-08-19T23:00:00
2025-08-19,Natasha Cloud,Points,Over,9.5,-112,BetOnline,2025-08-19T23:00:00
2025-08-19,Natasha Cloud,Points,Under,9.5,-115,BetOnline,2025-08-19T23:00:00
2025-08-19,Leonie Fiebich,Points,Over,8.5,-111,BetOnline,2025-08-19T23:00:00
2025-08-19,Leonie Fiebich,Points,Under,8.5,-116,BetOnline,2025-08-19T23:00:00
2025-08-19,Jessica Shepard,Points,Over,9.5,110,BetOnline,2025-08-19T23:00:00
2025-08-19,Jessica Shepard,Points,Under,9.5,-143,BetOnline,2025-08-19T23:00:00
2025-08-19,Sabrina Ionescu,Points,Over,17.5,-135,BetOnline,2025-08-19T23:00:00
2025-08-19,Sabrina Ionescu,Points,Under,17.5,104,BetOnline,2025-08-19T23:00:00
2025-08-19,Sonia Citron,Points,Over,16.5,-111,BetOnline,2025-08-19T23:30:00
2025-08-19,Sonia Citron,Points,Under,16.5,-116,BetOnline,2025-08-19T23:30:00
2025-08-19,Tina Charles,Points,Over,15.5,-105,BetOnline,2025-08-19T23:30:00
2025-08-19,Tina Charles,Points,Under,15.5,-123,BetOnline,2025-08-19T23:30:00
2025-08-19,Marina Mabrey,Points,Over,15.5,103,BetOnline,2025-08-19T23:30:00
2025-08-19,Marina Mabrey,Points,Under,15.5,-133,BetOnline,2025-08-19T23:30:00
2025-08-19,Kiki Iriafen,Points,Over,14.5,-101,BetOnline,2025-08-19T23:30:00
2025-08-19,Kiki Iriafen,Points,Under,14.5,-128,BetOnline,2025-08-19T23:30:00
2025-08-19,Shakira Austin,Points,Over,14.5,-101,BetOnline,2025-08-19T23:30:00
