player,team,stat,dk_line,matchup,game_time,dk_odds,dk_implied_prob,dk_implied_under_prob,caesars_threshold,threshold_diff,caesars_over_prob,caesars_under_prob,caesars_over_odds,caesars_under_odds,over_value,under_value,over_value_category,under_value_category,best_value_side
Paige Bueckers,DAL,Assists,2.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,-900,0.9,0.1,3,0.5,0.988,0.012,-8233,8233,0.088,-0.088,Medium Value Over,No Value,Medium Value Over
Paige Bueckers,DAL,Assists,3.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,-330,0.7674,0.2326,4,0.5,0.9524,0.0476,-2001,2001,0.185,-0.185,High Value Over,No Value,High Value Over
Paige Bueckers,DAL,Assists,4.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,-145,0.5918,0.4082,5,0.5,0.8787,0.1213,-724,724,0.2869,-0.2869,High Value Over,No Value,High Value Over
Paige Bueckers,DAL,Assists,5.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,135,0.4255,0.5745,6,0.5,0.6616,0.3384,-196,196,0.2361,-0.2361,High Value Over,No Value,High Value Over
Paige Bueckers,DAL,Assists,6.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,255,0.2817,0.7183,7,0.5,0.4368,0.5632,129,-129,0.1551,-0.1551,High Value Over,No Value,High Value Over
Paige Bueckers,DAL,Assists,7.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,475,0.1739,0.8261,8,0.5,0.2071,0.7929,383,-383,0.0332,-0.0332,No Value,No Value,No Value
Paige Bueckers,DAL,Assists,8.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,900,0.1,0.9,9,0.5,0.07,0.93,1329,-1329,-0.03,0.03,No Value,No Value,No Value
Paige Bueckers,DAL,Assists,9.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,1700,0.0556,0.9444,10,0.5,0.0325,0.9675,2977,-2977,-0.0231,0.0231,No Value,No Value,No Value
Paige Bueckers,DAL,Points,9.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,-2500,0.9615,0.0385,10,0.5,0.9443,0.0557,-1695,1695,-0.0172,0.0172,No Value,No Value,No Value
Paige Bueckers,DAL,Points,11.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,-1000,0.9091,0.0909,12,0.5,0.91,0.09,-1011,1011,0.0009,-0.0009,No Value,No Value,No Value
Paige Bueckers,DAL,Points,14.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,-360,0.7826,0.2174,15,0.5,0.7453,0.2547,-293,293,-0.0373,0.0373,No Value,No Value,No Value
Paige Bueckers,DAL,Points,17.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,-160,0.6154,0.3846,18,0.5,0.5505,0.4495,-122,122,-0.0649,0.0649,No Value,Medium Value Under,Medium Value Under
Paige Bueckers,DAL,Points,19.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,100,0.5,0.5,20,0.5,0.4156,0.5844,141,-141,-0.0844,0.0844,No Value,Medium Value Under,Medium Value Under
Paige Bueckers,DAL,Points,24.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,290,0.2564,0.7436,25,0.5,0.1296,0.8704,672,-672,-0.1268,0.1268,No Value,High Value Under,High Value Under
Paige Bueckers,DAL,Points,29.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,800,0.1111,0.8889,30,0.5,0.0346,0.9654,2790,-2790,-0.0765,0.0765,No Value,Medium Value Under,Medium Value Under
Paige Bueckers,DAL,Rebounds,2.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,-425,0.8095,0.1905,3,0.5,0.9242,0.0758,-1219,1219,0.1147,-0.1147,High Value Over,No Value,High Value Over
Paige Bueckers,DAL,Rebounds,3.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,-170,0.6296,0.3704,4,0.5,0.7606,0.2394,-318,318,0.131,-0.131,High Value Over,No Value,High Value Over
Paige Bueckers,DAL,Rebounds,4.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,125,0.4444,0.5556,5,0.5,0.5608,0.4392,-128,128,0.1164,-0.1164,High Value Over,No Value,High Value Over
Paige Bueckers,DAL,Rebounds,5.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,250,0.2857,0.7143,6,0.5,0.3508,0.6492,185,-185,0.0651,-0.0651,Medium Value Over,No Value,Medium Value Over
Paige Bueckers,DAL,Rebounds,6.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,475,0.1739,0.8261,7,0.5,0.1571,0.8429,537,-537,-0.0168,0.0168,No Value,No Value,No Value
Paige Bueckers,DAL,Rebounds,7.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,900,0.1,0.9,8,0.5,0.0576,0.9424,1636,-1636,-0.0424,0.0424,No Value,No Value,No Value
Paige Bueckers,DAL,Rebounds,8.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,1900,0.05,0.95,9,0.5,0.031,0.969,3126,-3126,-0.019,0.019,No Value,No Value,No Value
Paige Bueckers,DAL,3-Pointers,0.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,-310,0.7561,0.2439,1,0.5,0.6273,0.3727,-168,168,-0.1288,0.1288,No Value,High Value Under,High Value Under
Paige Bueckers,DAL,3-Pointers,1.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,150,0.4,0.6,2,0.5,0.275,0.725,264,-264,-0.125,0.125,No Value,High Value Under,High Value Under
Paige Bueckers,DAL,3-Pointers,2.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,475,0.1739,0.8261,3,0.5,0.0535,0.9465,1769,-1769,-0.1204,0.1204,No Value,High Value Under,High Value Under
Paige Bueckers,DAL,3-Pointers,3.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,1500,0.0625,0.9375,4,0.5,0.0117,0.9883,8447,-8447,-0.0508,0.0508,No Value,Medium Value Under,Medium Value Under
Gabby Williams,SEA,Assists,2.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,-650,0.8667,0.1333,3,0.5,0.6938,0.3062,-227,227,-0.1729,0.1729,No Value,High Value Under,High Value Under
Gabby Williams,SEA,Assists,3.5,2025-08-22T23:30:00Z,2025-08-22T23:30:00Z,-255,0.7183,0.2817,4,0.5,0.4904,0.5096,104,-104,-0.2279,0.2279,No Value,High Value Under,High Value Under
