"player","team","stat","threshold","threshold_label","probability","probability_percent","american_odds","under_probability","under_probability_percent","under_american_odds"
Aari McDonald,IND,"3-Pointers",1,"1+",0.0172,1.72,5714,0.9828,98.28,-5714
Aari McDonald,IND,"3-Pointers",2,"2+",0.0013,0.13,76823,0.9987,99.87,-76823
Aari McDonald,IND,Assists,1,"1+",0.0876,8.76,1042,0.9124,91.24,-1042
Aari McDonald,IND,Assists,2,"2+",0.0260,2.60,3746,0.9740,97.40,-3746
Aari McDonald,IND,Assists,3,"3+",0.0075,0.75,13233,0.9925,99.25,-13233
Aari McDonald,IND,Assists,4,"4+",0.0029,0.29,34383,0.9971,99.71,-34383
Aari McDonald,IND,Assists,5,"5+",0.0014,0.14,71329,0.9986,99.86,-71329
Aari McDonald,IND,Assists,6,"6+",0.0002,0.02,499900,0.9998,99.98,-499900
Aari McDonald,IND,PA,1,"1+",0.3122,31.22,220,0.6878,68.78,-220
Aari McDonald,IND,PA,2,"2+",0.1525,15.25,556,0.8475,84.75,-556
Aari McDonald,IND,PA,3,"3+",0.0721,7.21,1287,0.9279,92.79,-1287
Aari McDonald,IND,PA,4,"4+",0.0402,4.02,2388,0.9598,95.98,-2388
Aari McDonald,IND,PA,5,"5+",0.0271,2.71,3590,0.9729,97.29,-3590
Aari McDonald,IND,PA,6,"6+",0.0166,1.66,5924,0.9834,98.34,-5924
Aari McDonald,IND,PA,7,"7+",0.0104,1.04,9515,0.9896,98.96,-9515
Aari McDonald,IND,PA,8,"8+",0.0057,0.57,17444,0.9943,99.43,-17444
Aari McDonald,IND,PA,9,"9+",0.0035,0.35,28471,0.9965,99.65,-28471
Aari McDonald,IND,PA,10,"10+",0.0023,0.23,43378,0.9977,99.77,-43378
Aari McDonald,IND,PA,11,"11+",0.0017,0.17,58724,0.9983,99.83,-58724
Aari McDonald,IND,PA,12,"12+",0.0013,0.13,76823,0.9987,99.87,-76823
Aari McDonald,IND,PA,13,"13+",0.0009,0.09,111011,0.9991,99.91,-111011
Aari McDonald,IND,PA,14,"14+",0.0004,0.04,249900,0.9996,99.96,-249900
Aari McDonald,IND,PA,15,"15+",0.0003,0.03,333233,0.9997,99.97,-333233
Aari McDonald,IND,PA,16,"16+",0.0001,0.01,999900,0.9999,99.99,-999900
Aari McDonald,IND,PA,17,"17+",0.0001,0.01,999900,0.9999,99.99,-999900
Aari McDonald,IND,Points,1,"1+",0.2969,29.69,237,0.7031,70.31,-237
