,date,player,offerName,over/under,line,americanOdds,sportsbook
0,2025-05-17,Josh Bell,Total Player Runs,Over,0.5,+110,BetMGM
1,2025-05-17,Josh Bell,Total Player Runs,Under,0.5,-150,BetMGM
2,2025-05-17,Keibert Ruiz,Total Player Runs,Over,0.5,+110,BetMGM
3,2025-05-17,Keibert Ruiz,Total Player Runs,Under,0.5,-150,BetMGM
4,2025-05-17,Nathaniel Lowe,Total Player Runs,Over,0.5,+105,BetMGM
5,2025-05-17,Nathaniel Lowe,Total Player Runs,Under,0.5,-145,BetMGM
6,2025-05-17,Jose Tena,Total Player Runs,Over,0.5,+125,BetMGM
7,2025-05-17,Jose Tena,Total Player Runs,Under,0.5,-165,BetMGM
8,2025-05-17,Dylan Crews,Total Player Runs,Over,0.5,+110,BetMGM
9,2025-05-17,Dylan Crews,Total Player Runs,Under,0.5,-150,BetMGM
10,2025-05-17,Jacob Young,Total Player Runs,Over,0.5,+140,BetMGM
11,2025-05-17,Jacob Young,Total Player Runs,Under,0.5,-190,BetMGM
12,2025-05-17,Adley Rutschman,Total Player Runs,Over,0.5,+105,BetMGM
13,2025-05-17,Adley Rutschman,Total Player Runs,Under,0.5,-140,BetMGM
14,2025-05-17,Jackson Holliday,Total Player Runs,Over,0.5,-120,BetMGM
15,2025-05-17,Jackson Holliday,Total Player Runs,Under,0.5,-115,BetMGM
16,2025-05-17,Luis García,Total Player Runs,Over,0.5,-105,BetMGM
17,2025-05-17,Luis García,Total Player Runs,Under,0.5,-130,BetMGM
18,2025-05-17,Ryan O'Hearn,Total Player Runs,Over,0.5,-125,BetMGM
19,2025-05-17,Ryan O'Hearn,Total Player Runs,Under,0.5,-110,BetMGM
20,2025-05-17,Ramón Urias,Total Player Runs,Over,0.5,+125,BetMGM
21,2025-05-17,Ramón Urias,Total Player Runs,Under,0.5,-175,BetMGM
22,2025-05-17,Cedric Mullins,Total Player Runs,Over,0.5,+100,BetMGM
23,2025-05-17,Cedric Mullins,Total Player Runs,Under,0.5,-135,BetMGM
24,2025-05-17,Ramón Laureano,Total Player Runs,Over,0.5,+130,BetMGM
25,2025-05-17,Ramón Laureano,Total Player Runs,Under,0.5,-175,BetMGM
26,2025-05-17,Heston Kjerstad,Total Player Runs,Over,0.5,+105,BetMGM
27,2025-05-17,Heston Kjerstad,Total Player Runs,Under,0.5,-145,BetMGM
28,2025-05-17,Maverick Handley,Total Player Runs,Over,0.5,+175,BetMGM
29,2025-05-17,Maverick Handley,Total Player Runs,Under,0.5,-250,BetMGM
30,2025-05-17,CJ Abrams,Total Player Runs,Over,0.5,-150,BetMGM
31,2025-05-17,CJ Abrams,Total Player Runs,Under,0.5,+110,BetMGM
32,2025-05-17,Gunnar Henderson,Total Player Runs,Over,0.5,-135,BetMGM
33,2025-05-17,Gunnar Henderson,Total Player Runs,Under,0.5,+100,BetMGM
34,2025-05-17,James Wood,Total Player Runs,Over,0.5,-150,BetMGM
35,2025-05-17,James Wood,Total Player Runs,Under,0.5,+110,BetMGM
36,2025-05-17,Jesús Sánchez,Total Player Runs,Over,0.5,+125,BetMGM
37,2025-05-17,Jesús Sánchez,Total Player Runs,Under,0.5,-175,BetMGM
38,2025-05-17,Kyle Stowers,Total Player Runs,Over,0.5,+175,BetMGM
39,2025-05-17,Kyle Stowers,Total Player Runs,Under,0.5,-250,BetMGM
40,2025-05-17,Taylor Walls,Total Player Runs,Over,0.5,+140,BetMGM
41,2025-05-17,Taylor Walls,Total Player Runs,Under,0.5,-190,BetMGM
42,2025-05-17,Eric Wagaman,Total Player Runs,Over,0.5,+190,BetMGM
43,2025-05-17,Eric Wagaman,Total Player Runs,Under,0.5,-275,BetMGM
44,2025-05-17,Connor Norby,Total Player Runs,Over,0.5,+155,BetMGM
45,2025-05-17,Connor Norby,Total Player Runs,Under,0.5,-210,BetMGM
46,2025-05-17,Josh Lowe,Total Player Runs,Over,0.5,-125,BetMGM
47,2025-05-17,Josh Lowe,Total Player Runs,Under,0.5,-110,BetMGM
48,2025-05-17,Danny Jansen,Total Player Runs,Over,0.5,+170,BetMGM
49,2025-05-17,Danny Jansen,Total Player Runs,Under,0.5,-235,BetMGM
50,2025-05-17,Yandy Díaz,Total Player Runs,Over,0.5,+140,BetMGM
51,2025-05-17,Yandy Díaz,Total Player Runs,Under,0.5,-190,BetMGM
