Name,TeamAbbrev,min,gamedate
A'ja Wilson,LVA,33,5/9/2026
Alyssa Thomas,PHO,35,5/9/2026
Kamilla Cardoso,CHI,30,5/9/2026
Caitlin Clark,IND,32,5/9/2026
Aliyah Boston,IND,32,5/9/2026
Angel Reese,ATL,33,5/9/2026
Courtney Williams,MIN,34,5/9/2026
Jackie Young,LVA,33,5/9/2026
Skylar Diggins,CHI,28,5/9/2026
Natasha Howard,MIN,32,5/9/2026
Paige Bueckers,DAL,30,5/9/2026
Rhyne Howard,ATL,34,5/9/2026
Luisa Geiselsoder,POR,30,5/9/2026
Natasha Mack,PHO,32,5/9/2026
Alanna Smith,DAL,28,5/9/2026
Haley Jones,POR,30,5/9/2026
Allisha Gray,ATL,33,5/9/2026
Kahleah Copper,PHO,34,5/9/2026
Kelsey Mitchell,IND,30,5/9/2026
DeWanna Bonner,PHO,35,5/9/2026
Carla Leite,POR,30,5/9/2026
Chelsea Gray,LVA,32,5/9/2026
Rickea Jackson,CHI,28,5/9/2026
Myisha Hines-Allen,IND,27,5/9/2026
Maddy Siegrist,DAL,30,5/9/2026
Olivia Miles,MIN,30,5/9/2026
Kayla McBride,MIN,33,5/9/2026
Arike Ogunbowale,DAL,30,5/9/2026
Naz Hillmon,ATL,30,5/9/2026
Jordin Canada,ATL,28,5/9/2026
Nia Coffey,MIN,25,5/9/2026
Bridget Carleton,POR,30,5/9/2026
Emily Engstler,POR,20,5/9/2026
Rachel Banham,CHI,26,5/9/2026
Jewell Loyd,LVA,28,5/9/2026
Jacy Sheldon,CHI,28,5/9/2026
Kiana Williams,PHO,27,5/9/2026
Azzi Fudd,DAL,25,5/9/2026
Gabriela Jaquez,CHI,20,5/9/2026
Jessica Shepard,DAL,16,5/9/2026
Sug Sutton,POR,23,5/9/2026
Monique Billings,IND,18,5/9/2026
NaLyssa Smith,LVA,20,5/9/2026
Madina Okot,ATL,15,5/9/2026
Elizabeth Williams,CHI,12,5/9/2026
Anastasiia Kosu,MIN,16,5/9/2026
Sophie Cunningham,IND,18,5/9/2026
Kierstan Bell,LVA,18,5/9/2026
Kyara Linskens,PHO,15,5/9/2026
Chennedy Carter,LVA,15,5/9/2026
Te-Hina Paopao,ATL,16,5/9/2026
Megan Gustafson,POR,14,5/9/2026
Sarah Ashlee Barker,POR,15,5/9/2026
Aziaha James,DAL,10,5/9/2026
Damiris Dantas,IND,10,5/9/2026
Serah Williams,POR,8,5/9/2026
Emma Cechova,MIN,10,5/9/2026
Eliska Hamzova,MIN,10,5/9/2026
Antonia Delaere,MIN,10,5/9/2026
Lexie Hull,IND,11,5/9/2026
Sika Kone,ATL,11,5/9/2026
Raven Johnson,IND,8,5/9/2026
Peyton Williams,PHO,8,5/9/2026
Stephanie Talbot,LVA,9,5/9/2026
Quionche Carter,PHO,8,5/9/2026
Cheyenne Parker-Tyus,LVA,6,5/9/2026
Li Yueru,DAL,5,5/9/2026
Jovana Nogic,PHO,6,5/9/2026
Makayla Timpson,IND,5,5/9/2026
Brianna Turner,LVA,6,5/9/2026
Awak Kuier,DAL,4,5/9/2026
Shatori Walker-Kimbrough,IND,5,5/9/2026
Tyasha Harris,IND,4,5/9/2026
Alysha Clark,DAL,4,5/9/2026
JJ Quinerly,DAL,2,5/9/2026
Frieda Buhner,POR,0,5/9/2026
Azura Stevens,CHI,0,5/9/2026
Teja Oblak,POR,0,5/9/2026
Sydney Taylor,CHI,0,5/9/2026
Dorka Juhasz,MIN,0,5/9/2026
Holly Winterburn,ATL,0,5/9/2026
Courtney Vandersloot,CHI,0,5/9/2026
Napheesa Collier,MIN,0,5/9/2026
Sami Whitcomb,PHO,0,5/9/2026
Isobel Borlase,ATL,0,5/9/2026
Nyadiew Puoch,POR,0,5/9/2026
Indya Nivar,ATL,0,5/9/2026
Kejia Ran,ATL,0,5/9/2026
Jordan Harrison,POR,0,5/9/2026
Valeriane Ayayi,PHO,0,5/9/2026
Dana Evans,LVA,0,5/9/2026
Ines Pitarch-Granel,PHO,0,5/9/2026
Eszter Ratkai,PHO,0,5/9/2026
Janiah Barker,LVA,0,5/9/2026
Noemie Brochant,PHO,0,5/9/2026
Kamiah Smalls,POR,0,5/9/2026
Justine Pissott,IND,0,5/9/2026
Brionna Jones,ATL,0,5/9/2026
Kathryn Westbeld,PHO,0,5/9/2026
Monique Akoa Makani,PHO,0,5/9/2026
DiJonai Carrington,CHI,0,5/9/2026
Natasha Cloud,CHI,0,5/9/2026
Nika Muhl,POR,0,5/9/2026
Maya Caldwell,MIN,0,5/9/2026
Karlie Samuelson,POR,0,5/9/2026
