Player,Position,Player,,,,,,,,,,,,,,,,,,,
Aaliyah Edwards,Forward,Aaliyah,Edwards,,,,,,,,,,,,,,,,,,
Aaliyah Nye,Guard-Forward,Aaliyah,Nye,,,,,,,,,,,,,,,,,,
Aari McDonald,Guard,Aari,McDonald,,,,,,,,,,,,,,,,,,
Aaronette Vonleh,,Aaronette,Vonleh,,,,,,,,,,,,,,,,,,
Abby Meyers,Guard,Abby,Meyers,,,,,,,,,,,,,,,,,,
Aerial Powers,Guard,Aerial,Powers,,,,,,,,,,,,,,,,,,
A'ja Wilson,Center,A'ja,Wilson,,,,,,,,,,,,,,,,,,
Alaina Coates,Center,Alaina,Coates,,,,,,,,,,,,,,,,,,
Alanna Smith,Forward,Alanna,Smith,,,,,,,,,,,,,,,,,,
Alex Wilson,,Alex,Wilson,,,,,,,,,,,,,,,,,,
Alexa Held,Guard,Alexa,Held,,,,,,,,,,,,,,,,,,
Alexis Morris,,Alexis,Morris,,,,,,,,player_name,playerposition,ppm,fgapm,threespm,ftpm,rpm,apm,spm,bpm,minutes
Alexis Peterson,,Alexis,Peterson,,,,,,,,Angela Dugalic,null,0.225,0.35,0.025,0.05,0.275,0.05,0.125,0.05,20
Alexis Prince,Forward,Alexis,Prince,,,,,,,,Charlisse Leger-Walker,null,0.210526316,0.131578947,0,0.052631579,0.052631579,0.105263158,0.026315789,0.026315789,19
Alisia Jenkins,,Alisia,Jenkins,,,,,,,,Gianna Kneepkens,null,0.266666667,0.333333333,0.066666667,0,0.133333333,0.066666667,0.066666667,0,15
Alissa Pili,Forward,Alissa,Pili,,,,,,,,Kaitlyn Chen,null,0.222028733,0.300391815,0,0.013060514,0.130605137,0.078363082,0,0,7.656666667
Aliyah Boston,Forward-Center,Aliyah,Boston,,,,,,,,Kiki Rice,null,0.375,0.325,0.025,0.05,0.075,0.1,0.05,0,20
Allisha Gray,Guard,Allisha,Gray,,,,,,,,Laura Juskaite,null,0.340425532,0.382978723,0,0.127659574,0.234042553,0.063829787,0.085106383,0,23.5
Alysha Clark,Forward,Alysha,Clark,,,,,,,,Lauren Betts,null,0.612244898,0.387755102,0,0.244897959,0.183673469,0.081632653,0.040816327,0.020408163,24.5
Alyssa Thomas,Forward,Alyssa,Thomas,,,,,,,,Mackenzie Holmes,null,0.23686343,0.174530948,0.012466496,0.049865985,0.211930437,0.012466496,0.087265474,0.012466496,8.0215
Amanda Zahui B,Center,Amanda,Zahui,B,,,,,,,Pauline Astier,null,0.545454545,0.227272727,0,0.181818182,0.045454545,0.181818182,0.045454545,0.045454545,22
