"player","team","stat","threshold","threshold_label","probability","probability_percent","american_odds","under_probability","under_probability_percent","under_american_odds"
Aari McDonald,IND,"3-Pointers",1,"1+",0.0198,1.98,4951,0.9802,98.02,-4951
Aari McDonald,IND,"3-Pointers",2,"2+",0.0023,0.23,43378,0.9977,99.77,-43378
Aari McDonald,IND,Assists,1,"1+",0.0852,8.52,1074,0.9148,91.48,-1074
Aari McDonald,IND,Assists,2,"2+",0.0228,2.28,4286,0.9772,97.72,-4286
Aari McDonald,IND,Assists,3,"3+",0.0062,0.62,16029,0.9938,99.38,-16029
Aari McDonald,IND,Assists,4,"4+",0.0019,0.19,52532,0.9981,99.81,-52532
Aari McDonald,IND,Assists,5,"5+",0.0006,0.06,166567,0.9994,99.94,-166567
Aari McDonald,IND,Assists,6,"6+",0.0001,0.01,999900,0.9999,99.99,-999900
Aari McDonald,IND,PA,1,"1+",0.2925,29.25,242,0.7075,70.75,-242
Aari McDonald,IND,PA,2,"2+",0.1393,13.93,618,0.8607,86.07,-618
Aari McDonald,IND,PA,3,"3+",0.0654,6.54,1429,0.9346,93.46,-1429
Aari McDonald,IND,PA,4,"4+",0.0371,3.71,2595,0.9629,96.29,-2595
Aari McDonald,IND,PA,5,"5+",0.0233,2.33,4192,0.9767,97.67,-4192
Aari McDonald,IND,PA,6,"6+",0.0147,1.47,6703,0.9853,98.53,-6703
Aari McDonald,IND,PA,7,"7+",0.0079,0.79,12558,0.9921,99.21,-12558
Aari McDonald,IND,PA,8,"8+",0.0039,0.39,25541,0.9961,99.61,-25541
Aari McDonald,IND,PA,9,"9+",0.0022,0.22,45355,0.9978,99.78,-45355
Aari McDonald,IND,PA,10,"10+",0.0015,0.15,66567,0.9985,99.85,-66567
Aari McDonald,IND,PA,11,"11+",0.0011,0.11,90809,0.9989,99.89,-90809
Aari McDonald,IND,PA,12,"12+",0.0010,0.10,99900,0.9990,99.90,-99900
Aari McDonald,IND,PA,13,"13+",0.0006,0.06,166567,0.9994,99.94,-166567
Aari McDonald,IND,PA,14,"14+",0.0002,0.02,499900,0.9998,99.98,-499900
Aari McDonald,IND,PA,15,"15+",0.0001,0.01,999900,0.9999,99.99,-999900
Aari McDonald,IND,PA,16,"16+",0.0001,0.01,999900,0.9999,99.99,-999900
Aari McDonald,IND,Points,1,"1+",0.2760,27.60,262,0.7240,72.40,-262
Aari McDonald,IND,Points,2,"2+",0.1150,11.50,770,0.8850,88.50,-770
Aari McDonald,IND,Points,3,"3+",0.0503,5.03,1888,0.9497,94.97,-1888
Aari McDonald,IND,Points,4,"4+",0.0322,3.22,3006,0.9678,96.78,-3006
Aari McDonald,IND,Points,5,"5+",0.0198,1.98,4951,0.9802,98.02,-4951
Aari McDonald,IND,Points,6,"6+",0.0116,1.16,8521,0.9884,98.84,-8521
Aari McDonald,IND,Points,7,"7+",0.0063,0.63,15773,0.9937,99.37,-15773
Aari McDonald,IND,Points,8,"8+",0.0031,0.31,32158,0.9969,99.69,-32158
Aari McDonald,IND,Points,9,"9+",0.0019,0.19,52532,0.9981,99.81,-52532
Aari McDonald,IND,Points,10,"10+",0.0012,0.12,83233,0.9988,99.88,-83233
Aari McDonald,IND,Points,11,"11+",0.0007,0.07,142757,0.9993,99.93,-142757
Aari McDonald,IND,Points,12,"12+",0.0006,0.06,166567,0.9994,99.94,-166567
Aari McDonald,IND,Points,13,"13+",0.0003,0.03,333233,0.9997,99.97,-333233
Aari McDonald,IND,Points,14,"14+",0.0001,0.01,999900,0.9999,99.99,-999900
Aari McDonald,IND,PR,1,"1+",0.2798,27.98,257,0.7202,72.02,-257
Aari McDonald,IND,PR,2,"2+",0.1255,12.55,697,0.8745,87.45,-697
