Position,Name + ID,Name,ID,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Sabrina Ionescu (42957315),Sabrina Ionescu,42957315,11000,CON @ NYL 2026-05-08T23:30:00.0000000Z,NYL,35.8
SF/PF,Breanna Stewart (42957317),Breanna Stewart,42957317,10800,CON @ NYL 2026-05-08T23:30:00.0000000Z,NYL,36.5
SF/PF,Satou Sabally (42957319),Satou Sabally,42957319,10000,CON @ NYL 2026-05-08T23:30:00.0000000Z,NYL,31.4
SF/PF,Kiki Iriafen (42957321),Kiki Iriafen,42957321,9900,WAS @ TOR 2026-05-08T23:30:00.0000000Z,WAS,27.3
PG/SG,Sonia Citron (42957323),Sonia Citron,42957323,9700,WAS @ TOR 2026-05-08T23:30:00.0000000Z,WAS,26.7
PG/SG,Marina Mabrey (42957325),Marina Mabrey,42957325,9600,WAS @ TOR 2026-05-08T23:30:00.0000000Z,TOR,27.2
PG/SG,Veronica Burton (42957327),Veronica Burton,42957327,9500,GSV @ SEA 2026-05-09T02:00:00.0000000Z,GSV,30.2
SF/PF,Jonquel Jones (42957329),Jonquel Jones,42957329,9400,CON @ NYL 2026-05-08T23:30:00.0000000Z,NYL,30.9
SF/PF,Gabby Williams (42957331),Gabby Williams,42957331,9200,GSV @ SEA 2026-05-09T02:00:00.0000000Z,GSV,27.8
SF/PF,Dominique Malonga (42957333),Dominique Malonga,42957333,9100,GSV @ SEA 2026-05-09T02:00:00.0000000Z,SEA,17.2
SF/PF,Shakira Austin (42957335),Shakira Austin,42957335,9000,WAS @ TOR 2026-05-08T23:30:00.0000000Z,WAS,26.7
SF/PF,Janelle Salaun (42957337),Janelle Salaun,42957337,8700,GSV @ SEA 2026-05-09T02:00:00.0000000Z,GSV,21.1
PG/SG,Leila Lacan (42957339),Leila Lacan,42957339,8500,CON @ NYL 2026-05-08T23:30:00.0000000Z,CON,22.9
SF/PF,Aneesah Morrow (42957341),Aneesah Morrow,42957341,8400,CON @ NYL 2026-05-08T23:30:00.0000000Z,CON,19.4
PG/SG,Tiffany Hayes (42957343),Tiffany Hayes,42957343,8100,GSV @ SEA 2026-05-09T02:00:00.0000000Z,GSV,22.1
PG/SG,Brittney Sykes (42957345),Brittney Sykes,42957345,7900,WAS @ TOR 2026-05-08T23:30:00.0000000Z,TOR,25.0
PG/SG,Saniya Rivers (42957347),Saniya Rivers,42957347,7700,CON @ NYL 2026-05-08T23:30:00.0000000Z,CON,20.9
SF/PF,Iliana Rupert (42957349),Iliana Rupert,42957349,7500,GSV @ SEA 2026-05-09T02:00:00.0000000Z,GSV,18.9
SF/PF,Leonie Fiebich (42957351),Leonie Fiebich,42957351,7400,CON @ NYL 2026-05-08T23:30:00.0000000Z,NYL,17.9
SF/PF,Ezi Magbegor (42957353),Ezi Magbegor,42957353,7300,GSV @ SEA 2026-05-09T02:00:00.0000000Z,SEA,23.9
SF/PF,Lauren Betts (42957355),Lauren Betts,42957355,7200,WAS @ TOR 2026-05-08T23:30:00.0000000Z,WAS,-
SF/PF,Brittney Griner (42957357),Brittney Griner,42957357,7100,CON @ NYL 2026-05-08T23:30:00.0000000Z,CON,18.8
PG/SG,Flau'Jae Johnson (42957359),Flau'Jae Johnson,42957359,7000,GSV @ SEA 2026-05-09T02:00:00.0000000Z,SEA,8th
PG/SG,Kaila Charles (42957361),Kaila Charles,42957361,6900,GSV @ SEA 2026-05-09T02:00:00.0000000Z,GSV,14.9
SF/PF,Awa Fam (42957363),Awa Fam,42957363,6800,GSV @ SEA 2026-05-09T02:00:00.0000000Z,SEA,4th
PG/SG,Natisha Hiedeman (42957365),Natisha Hiedeman,42957365,6700,GSV @ SEA 2026-05-09T02:00:00.0000000Z,SEA,17.0
PG/SG,Kiki Rice (42957367),Kiki Rice,42957367,6600,WAS @ TOR 2026-05-08T23:30:00.0000000Z,TOR,6th
SF/PF,Cecilia Zandalasini (42957369),Cecilia Zandalasini,42957369,6300,GSV @ SEA 2026-05-09T02:00:00.0000000Z,GSV,19.8
