,Position,Name + ID,Name,ID,Salary,Game Info,TeamAbbrev_y,AvgPointsPerGame,dkpts,player_name,dkstd,Projection Ceil,Projection Floor,Max Exposure,Projected Ownership,Max Deviation,Key,GPP,Play
0,SF/PF,A'ja Wilson (40361881),A'ja Wilson,40361881,21600,LAV@PHO 10/10/2025 08:00PM EDT,LAV,59.7979783612013,59.7979783612013,A'ja Wilson,12.07127540644066,71.86925376764196,47.72670295476064,100,64.85099099415561,12.071275406440662,A'ja Wilson(40361881),74.80000000000001,-2.9307462323580467
1,PG/SG,Aaliyah Nye (40361903),Aaliyah Nye,40361903,3000,LAV@PHO 10/10/2025 08:00PM EDT,LAV,0.0,0.0,Aaliyah Nye,6.056348267631492,6.056348267631492,0.0,100,0.001815277835503643,6.056348267631492,Aaliyah Nye(40361903),19.0,-12.943651732368508
2,PG/SG,Alexa Held (40361897),Alexa Held,40361897,3000,LAV@PHO 10/10/2025 08:00PM EDT,PHO,0.0,0.0,Alexa Held,8.50367969524811,8.50367969524811,0.0,100,0.001815277835503643,8.50367969524811,Alexa Held(40361897),19.0,-10.49632030475189
3,SF/PF,Alyssa Thomas (40361882),Alyssa Thomas,40361882,18600,LAV@PHO 10/10/2025 08:00PM EDT,PHO,48.8632480004501,48.8632480004501,Alyssa Thomas,10.69043821237117,59.55368621282127,38.17280978807893,100,63.62893961732239,10.69043821237117,Alyssa Thomas(40361882),65.80000000000001,-6.246313787178742
4,PG/SG,Chelsea Gray (40361885),Chelsea Gray,40361885,13500,LAV@PHO 10/10/2025 08:00PM EDT,LAV,29.2297060070869,29.2297060070869,Chelsea Gray,9.009859386392824,38.23956539347972,20.219846620694078,100,21.857438275870486,9.009859386392822,Chelsea Gray(40361885),50.5,-12.260434606520278
5,SF/PF,Cheyenne Parker Tyus (40361902),Cheyenne Parker Tyus,40361902,3000,LAV@PHO 10/10/2025 08:00PM EDT,LAV,25.8754815770895,25.8754815770895,Cheyenne Parker-Tyus,10.151513342378852,36.02699491946835,15.723968234710647,100,54.72870371686431,10.151513342378852,Cheyenne Parker Tyus(40361902),19.0,17.02699491946835
6,PG/SG,Dana Evans (40361892),Dana Evans,40361892,6000,LAV@PHO 10/10/2025 08:00PM EDT,LAV,15.9276569606846,15.9276569606846,Dana Evans,8.447278384824703,24.3749353455093,7.480378575859897,100,16.374852002605028,8.4472783848247,Dana Evans(40361892),28.0,-3.6250646544907
7,PG/SG,DeWanna Bonner (40361887),DeWanna Bonner,40361887,10500,LAV@PHO 10/10/2025 08:00PM EDT,PHO,19.0366693226239,19.0366693226239,DeWanna Bonner,12.568812530923516,31.605481853547417,6.467856791700385,100,12.822238486812338,12.568812530923516,DeWanna Bonner(40361887),41.5,-9.894518146452583
8,PG/SG,Jackie Young (40361883),Jackie Young,40361883,15600,LAV@PHO 10/10/2025 08:00PM EDT,LAV,36.6343568866141,36.6343568866141,Jackie Young,9.30693270716892,45.94128959378302,27.32742417944518,100,30.259924859114644,9.306932707168919,Jackie Young(40361883),56.8,-10.858710406216979
9,PG/SG,Jewell Loyd (40361888),Jewell Loyd,40361888,9600,LAV@PHO 10/10/2025 08:00PM EDT,LAV,23.3799897513826,23.3799897513826,Jewell Loyd,12.570371397109675,35.95036114849228,10.809618354272924,100,23.92322429975219,12.570371397109678,Jewell Loyd(40361888),38.8,-2.84963885150772
