G,G,F,F,F,UTIL
Kaila Charles(40009935),Paige Bueckers(40009875),Alyssa Thomas(40009861),Maddy Westbeld(40010003),Michaela Onyenwere(40009979),Veronica Burton(40009881)
Kahleah Copper(40009895),Natasha Cloud(40009897),Janelle Salaun(40009905),Monique Billings(40009973),Myisha Hines Allen(40009901),Jackie Young(40009871)
Haley Jones(40009919),Veronica Burton(40009881),Alyssa Thomas(40009861),Kalani Brown(40010041),Kamilla Cardoso(40009877),NaLyssa Smith(40009965)
Haley Jones(40009919),Kaila Charles(40009935),Kamilla Cardoso(40009877),Maddy Siegrist(40009887),Satou Sabally(40009885),Dana Evans(40009955)
Natisha Hiedeman(40009925),Veronica Burton(40009881),Kalani Brown(40010041),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),A'ja Wilson(40009859)
Rachel Banham(40009947),Sami Whitcomb(40009959),Kalani Brown(40010041),Kamilla Cardoso(40009877),A'ja Wilson(40009859),Veronica Burton(40009881)
Veronica Burton(40009881),Jackie Young(40009871),Breanna Stewart(40009869),Jessica Shepard(40009915),NaLyssa Smith(40009965),Rae Burrell(40009969)
Sami Whitcomb(40009959),Veronica Burton(40009881),Alyssa Thomas(40009861),Jonquel Jones(40009899),Kalani Brown(40010041),Myisha Hines Allen(40009901)
Veronica Burton(40009881),Jewell Loyd(40009941),Kalani Brown(40010041),Kamilla Cardoso(40009877),A'ja Wilson(40009859),Rae Burrell(40009969)
Kia Nurse(40009975),Veronica Burton(40009881),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),Natasha Mack(40009937),A'ja Wilson(40009859)
Kahleah Copper(40009895),Jackie Young(40009871),Jessica Shepard(40009915),Jonquel Jones(40009899),Kalani Brown(40010041),Kamilla Cardoso(40009877)
Grace Berger(40009943),Kahleah Copper(40009895),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Dearica Hamby(40009873),NaLyssa Smith(40009965)
Veronica Burton(40009881),Rae Burrell(40009969),Jessica Shepard(40009915),Kalani Brown(40010041),Myisha Hines Allen(40009901),A'ja Wilson(40009859)
Kaila Charles(40009935),Paige Bueckers(40009875),Janelle Salaun(40009905),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Dana Evans(40009955)
Kahleah Copper(40009895),Kaila Charles(40009935),Jessica Shepard(40009915),Kamilla Cardoso(40009877),Natasha Mack(40009937),Veronica Burton(40009881)
Sami Whitcomb(40009959),Veronica Burton(40009881),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Satou Sabally(40009885),Jewell Loyd(40009941)
Kia Nurse(40009975),Veronica Burton(40009881),Kalani Brown(40010041),Myisha Hines Allen(40009901),A'ja Wilson(40009859),Azurá Stevens(40009893)
Veronica Burton(40009881),Jewell Loyd(40009941),Myisha Hines Allen(40009901),Natasha Mack(40009937),Satou Sabally(40009885),Azurá Stevens(40009893)
Kia Nurse(40009975),Veronica Burton(40009881),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),NaLyssa Smith(40009965),Jackie Young(40009871)
Veronica Burton(40009881),Jewell Loyd(40009941),Breanna Stewart(40009869),Jonquel Jones(40009899),Kalani Brown(40010041),Dearica Hamby(40009873)
Courtney Williams(40009879),Kahleah Copper(40009895),Maddy Siegrist(40009887),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),Veronica Burton(40009881)
Haley Jones(40009919),Veronica Burton(40009881),Maddy Westbeld(40010003),Michaela Onyenwere(40009979),Satou Sabally(40009885),A'ja Wilson(40009859)
Paige Bueckers(40009875),Dana Evans(40009955),Alyssa Thomas(40009861),Kamilla Cardoso(40009877),Kathryn Westbeld(40010007),Natasha Mack(40009937)
Natisha Hiedeman(40009925),Rae Burrell(40009969),Kamilla Cardoso(40009877),Maddy Siegrist(40009887),Myisha Hines Allen(40009901),Satou Sabally(40009885)
Veronica Burton(40009881),Jackie Young(40009871),Jessica Shepard(40009915),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),Satou Sabally(40009885)
Kaila Charles(40009935),Kia Nurse(40009975),Alyssa Thomas(40009861),Myisha Hines Allen(40009901),Natasha Mack(40009937),Veronica Burton(40009881)
Veronica Burton(40009881),Jewell Loyd(40009941),Kalani Brown(40010041),Kamilla Cardoso(40009877),Monique Billings(40009973),A'ja Wilson(40009859)
Haley Jones(40009919),Sami Whitcomb(40009959),Satou Sabally(40009885),Dearica Hamby(40009873),NaLyssa Smith(40009965),Veronica Burton(40009881)
Veronica Burton(40009881),Dana Evans(40009955),Alyssa Thomas(40009861),Maddy Westbeld(40010003),Natasha Mack(40009937),Dearica Hamby(40009873)
Kahleah Copper(40009895),Sami Whitcomb(40009959),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Natasha Mack(40009937),Veronica Burton(40009881)
Kahleah Copper(40009895),Sami Whitcomb(40009959),Michaela Onyenwere(40009979),Natasha Mack(40009937),A'ja Wilson(40009859),Veronica Burton(40009881)
Natisha Hiedeman(40009925),Veronica Burton(40009881),Alyssa Thomas(40009861),Kalani Brown(40010041),Michaela Onyenwere(40009979),Dearica Hamby(40009873)
Kahleah Copper(40009895),Veronica Burton(40009881),Kamilla Cardoso(40009877),Natasha Mack(40009937),Azurá Stevens(40009893),NaLyssa Smith(40009965)
Grace Berger(40009943),Natisha Hiedeman(40009925),Breanna Stewart(40009869),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Natasha Mack(40009937)
Natisha Hiedeman(40009925),Veronica Burton(40009881),Jonquel Jones(40009899),Maddy Siegrist(40009887),Maddy Westbeld(40010003),Dearica Hamby(40009873)
Paige Bueckers(40009875),Jackie Young(40009871),Maria Kliundikova(40009991),Myisha Hines Allen(40009901),Satou Sabally(40009885),Jewell Loyd(40009941)
Paige Bueckers(40009875),Jewell Loyd(40009941),Breanna Stewart(40009869),Jessica Shepard(40009915),Kamilla Cardoso(40009877),Maddy Westbeld(40010003)
Haley Jones(40009919),Kahleah Copper(40009895),Jessica Shepard(40009915),Kamilla Cardoso(40009877),Dearica Hamby(40009873),Kia Nurse(40009975)
Veronica Burton(40009881),Dana Evans(40009955),Jessica Shepard(40009915),Natasha Mack(40009937),A'ja Wilson(40009859),NaLyssa Smith(40009965)
Kahleah Copper(40009895),Sami Whitcomb(40009959),Breanna Stewart(40009869),Kalani Brown(40010041),Kamilla Cardoso(40009877),Jackie Young(40009871)
Kahleah Copper(40009895),Veronica Burton(40009881),Michaela Onyenwere(40009979),Natasha Mack(40009937),A'ja Wilson(40009859),NaLyssa Smith(40009965)
Haley Jones(40009919),Kahleah Copper(40009895),Janelle Salaun(40009905),Natasha Mack(40009937),Azurá Stevens(40009893),Veronica Burton(40009881)
Grace Berger(40009943),Kahleah Copper(40009895),Michaela Onyenwere(40009979),Monique Billings(40009973),A'ja Wilson(40009859),Jackie Young(40009871)
Sami Whitcomb(40009959),Veronica Burton(40009881),Breanna Stewart(40009869),Kamilla Cardoso(40009877),Satou Sabally(40009885),Cheyenne Parker Tyus(40010055)
